user_registration_id,payment_detail_id,plan_id,start_date,end_date
1,1,2,2024-03-02T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00
2,2,3,2024-03-31T00:00:00.000-06:00,2024-10-06T00:00:00.000-06:00
3,3,1,2024-12-11T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00
4,4,2,2024-05-15T00:00:00.000-06:00,2024-11-24T00:00:00.000-06:00
5,5,1,2024-11-01T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00
6,6,3,2024-03-14T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00
7,7,1,2024-07-30T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00
8,8,1,2024-01-11T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00
9,9,2,2024-02-14T00:00:00.000-06:00,2024-12-16T00:00:00.000-06:00
10,10,1,2024-07-09T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00
11,11,3,2024-11-10T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00
12,12,2,2024-01-27T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00
13,13,3,2024-12-18T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00
14,14,2,2024-06-16T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00
15,15,2,2024-09-07T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00
16,16,2,2024-01-14T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00
17,17,3,2024-09-23T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00
18,18,1,2024-05-18T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00
19,19,2,2024-05-09T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00
20,20,2,2024-07-09T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00
21,21,2,2024-01-09T00:00:00.000-06:00,2024-09-01T00:00:00.000-06:00
22,22,1,2024-02-21T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00
23,23,3,2024-04-26T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00
24,24,3,2024-01-12T00:00:00.000-06:00,2024-07-30T00:00:00.000-06:00
25,25,2,2024-07-14T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00
26,26,1,2024-05-29T00:00:00.000-06:00,2024-11-14T00:00:00.000-06:00
27,27,3,2024-05-08T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00
28,28,2,2024-11-29T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00
29,29,2,2024-06-13T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00
30,30,1,2024-01-25T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00
31,31,1,2024-10-06T00:00:00.000-06:00,2024-12-05T00:00:00.000-06:00
32,32,3,2024-03-30T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00
33,33,3,2024-06-12T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00
34,34,3,2024-01-14T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00
35,35,3,2024-09-06T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00
36,36,1,2024-12-04T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00
37,37,3,2024-06-20T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00
38,38,2,2024-04-10T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00
39,39,3,2024-01-05T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00
40,40,1,2024-01-14T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00
41,41,1,2024-07-08T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00
42,42,1,2024-08-14T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00
43,43,1,2024-08-02T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00
44,44,1,2024-08-17T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00
45,45,2,2024-01-12T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00
46,46,2,2024-09-23T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00
47,47,3,2024-11-08T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00
48,48,3,2024-07-26T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00
49,49,1,2024-05-31T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00
50,50,2,2024-04-06T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00
51,51,2,2024-07-24T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00
52,52,2,2024-06-19T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00
53,53,2,2024-05-14T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00
54,54,3,2024-03-30T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00
55,55,1,2024-03-29T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00
56,56,1,2024-11-28T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00
57,57,1,2024-06-01T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00
58,58,3,2024-05-28T00:00:00.000-06:00,2024-11-17T00:00:00.000-06:00
59,59,2,2024-07-05T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00
60,60,1,2024-03-01T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00
61,61,1,2024-06-07T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00
62,62,2,2024-01-31T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00
63,63,2,2024-11-03T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00
64,64,2,2024-02-17T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00
65,65,3,2024-01-07T00:00:00.000-06:00,2024-12-06T00:00:00.000-06:00
66,66,1,2024-09-19T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00
67,67,3,2024-01-07T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00
68,68,1,2024-09-26T00:00:00.000-06:00,2024-11-04T00:00:00.000-06:00
69,69,1,2024-05-27T00:00:00.000-06:00,2024-07-03T00:00:00.000-06:00
70,70,3,2024-09-10T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00
71,71,1,2024-11-26T00:00:00.000-06:00,2024-12-05T00:00:00.000-06:00
72,72,3,2024-08-04T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00
73,73,3,2024-02-03T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00
74,74,1,2024-11-25T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00
75,75,1,2024-04-21T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00
76,76,2,2024-05-31T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00
77,77,1,2024-07-20T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00
78,78,1,2024-03-12T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00
79,79,1,2024-06-02T00:00:00.000-06:00,2024-09-06T00:00:00.000-06:00
80,80,3,2024-09-27T00:00:00.000-06:00,2024-10-21T00:00:00.000-06:00
81,81,3,2024-10-31T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00
82,82,3,2024-11-24T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00
83,83,3,2024-05-29T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00
84,84,2,2024-11-04T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00
85,85,2,2024-01-20T00:00:00.000-06:00,2024-09-09T00:00:00.000-06:00
86,86,1,2024-08-16T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00
87,87,2,2024-09-01T00:00:00.000-06:00,2024-10-25T00:00:00.000-06:00
88,88,2,2024-07-22T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00
89,89,1,2024-02-26T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00
90,90,3,2024-08-16T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00
91,91,3,2024-10-31T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00
92,92,2,2024-02-20T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00
93,93,1,2024-01-31T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00
94,94,2,2024-04-03T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00
95,95,2,2024-11-01T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00
