play_session_id,user_id,start_datetime,end_datetime,channel_code,status_code,total_score
0,309,2024-12-11T12:26:22.670-06:00,2024-12-11T17:01:22.670-06:00,BROWSER,COMPLETED,1081
1,179,2024-02-13T15:51:16.919-06:00,2024-02-13T22:17:16.919-06:00,MOBILE,ABORTED,4271
2,314,2024-08-21T10:56:25.744-06:00,2024-08-21T15:17:25.744-06:00,BROWSER,TIMEOUT,2634
3,492,2024-03-27T01:46:36.925-06:00,2024-03-27T10:05:36.925-06:00,MOBILE,ABORTED,3082
4,369,2024-08-25T22:29:23.179-06:00,2024-08-26T00:54:23.179-06:00,MOBILE,TIMEOUT,3995
5,59,2024-04-27T16:37:13.057-06:00,2024-04-27T23:33:13.057-06:00,MOBILE,TIMEOUT,3025
6,408,2024-12-15T19:41:46.635-06:00,2024-12-16T02:26:46.635-06:00,BROWSER,TIMEOUT,1295
7,358,2024-01-04T00:02:03.341-06:00,2024-01-04T08:28:03.341-06:00,MOBILE,ABORTED,154
8,391,2024-06-10T01:46:47.635-06:00,2024-06-10T06:05:47.635-06:00,MOBILE,ABORTED,255
9,360,2024-11-23T15:50:37.399-06:00,2024-11-23T22:32:37.399-06:00,MOBILE,TIMEOUT,2719
10,326,2024-10-02T17:07:20.528-06:00,2024-10-02T19:58:20.528-06:00,BROWSER,COMPLETED,730
11,431,2024-01-15T07:54:04.663-06:00,2024-01-15T14:50:04.663-06:00,MOBILE,TIMEOUT,4976
12,55,2024-12-08T02:01:05.524-06:00,2024-12-08T05:05:05.524-06:00,BROWSER,TIMEOUT,3892
13,62,2024-04-16T14:53:00.976-06:00,2024-04-16T15:09:00.976-06:00,MOBILE,TIMEOUT,3661
14,331,2024-01-26T19:20:26.408-06:00,2024-01-26T23:23:26.408-06:00,MOBILE,COMPLETED,168
15,201,2024-10-15T07:49:44.134-06:00,2024-10-15T15:42:44.134-06:00,MOBILE,TIMEOUT,3211
16,181,2024-08-19T10:01:17.003-06:00,2024-08-19T12:41:17.003-06:00,MOBILE,TIMEOUT,1154
17,205,2024-05-22T14:02:50.549-06:00,2024-05-22T18:07:50.549-06:00,BROWSER,TIMEOUT,3564
18,395,2024-09-11T01:21:13.873-06:00,2024-09-11T09:05:13.873-06:00,MOBILE,TIMEOUT,1015
